id,title,fire_name,fire_id,ignition_date,administrative_unit,tid,term_name,field_acres,field_state,preliminary_image_url,preliminary_file_url,soil_burn_image_url,soil_burn_file_url,standardized_sbs,unburned_px,low_px,moderate_px,high_px,nodata_px,centroid_lng,centroid_lat,l3_ecoregion
560,Chrandler Creek,Chrandler Creek,mt4556111422120120706,07/06/2012,Bitterroot National Forest,908,Bitterroot National Forest,3018,Montana,https://edcintl.cr.usgs.gov/downloads/sciweb1/shared/MTBS_Fire/data/baer/mt4556111422120120706_20120816_post.jpg,https://edcintl.cr.usgs.gov/downloads/sciweb1/shared/MTBS_Fire/data/baer/mt4556111422120120706.tar.gz,,https://edcintl.cr.usgs.gov/downloads/sciweb1/shared/MTBS_Fire/data/baer/mt4556111422120120706_SBS.zip,mt4556111422120120706/mt4556111422120120706_20110816_20120816_SBS.standardized.usgs_lcc.tif,147961,24872,3809,2346,42002,-114.278623146391,45.5690537909888,6.2.15
562,Dugan,Dugan,mt4583610457120120914,09/14/2012,Custer-Gallatin National Forest,1033,Custer-Gallatin National Forest,11075,Montana,https://edcintl.cr.usgs.gov/downloads/sciweb1/shared/MTBS_Fire/data/baer/mt4583610457120120914_20120922_post.jpg,https://edcintl.cr.usgs.gov/downloads/sciweb1/shared/MTBS_Fire/data/baer/mt4583610457120120914.tar.gz,,https://edcintl.cr.usgs.gov/downloads/sciweb1/shared/MTBS_Fire/data/baer/mt4583610457120120914_SBS.zip,mt4583610457120120914/mt4583610457120120914_SBS.shp.standardized.usgs_lcc.tif,24776,392,7939,15314,35099,-104.559934172,45.8074756147199,9.3.3
557,Dutch,Dutch,mt4516510588320120910,09/10/2012,Non-Forest Service Land,1614,Non-Forest Service Land,19570,Montana,https://edcintl.cr.usgs.gov/downloads/sciweb1/shared/MTBS_Fire/data/baer/mt4516510588320120910_20120913_post.jpg,https://edcintl.cr.usgs.gov/downloads/sciweb1/shared/MTBS_Fire/data/baer/mt4516510588320120910.tar.gz,,https://edcintl.cr.usgs.gov/downloads/sciweb1/shared/MTBS_Fire/data/baer/mt4516510588320120910_SBS.zip,mt4516510588320120910/mt4516510588320120910_SBS.shp.standardized.usgs_lcc.tif,2090,4248,39099,41776,61422,-105.83976263994,45.1726049049352,9.3.3
553,McGuire Porcupine Complex,McGuire Porcupine Complex,id4559711556320120827,08/27/2012,Nez Perce-Clearwater,997,Nez Perce-Clearwater,43564,Idaho,https://edcintl.cr.usgs.gov/downloads/sciweb1/shared/MTBS_Fire/data/baer/id4559711556320120827_20121009_post.jpg,https://edcintl.cr.usgs.gov/downloads/sciweb1/shared/MTBS_Fire/data/baer/id4559711556320120827.tar.gz,,https://edcintl.cr.usgs.gov/downloads/sciweb1/shared/MTBS_Fire/data/baer/id4559711556320120827_SBS.zip,id4559711556320120827/McGuireBARC4.shp.standardized.usgs_lcc.tif,69069,76189,48815,7974,170913,-115.512131386262,45.6075806300913,6.2.15
553,McGuire Porcupine Complex,McGuire Porcupine Complex,id4559711556320120827,08/27/2012,Nez Perce-Clearwater,997,Nez Perce-Clearwater,43564,Idaho,https://edcintl.cr.usgs.gov/downloads/sciweb1/shared/MTBS_Fire/data/baer/id4559711556320120827_20121009_post.jpg,https://edcintl.cr.usgs.gov/downloads/sciweb1/shared/MTBS_Fire/data/baer/id4559711556320120827.tar.gz,,https://edcintl.cr.usgs.gov/downloads/sciweb1/shared/MTBS_Fire/data/baer/id4559711556320120827_SBS.zip,id4559711556320120827/PorcupineBARC4.shp.standardized.usgs_lcc.tif,20807,14822,46154,35200,283555,-114.963085682474,45.7376817163875,6.2.15
558,Millie,Millie,mt4540011110320120828,08/28/2012,Custer Gallatin National Forest Supervisor Office,1034,Custer Gallatin National Forest Supervisor Office,10709,Montana,https://edcintl.cr.usgs.gov/downloads/sciweb1/shared/MTBS_Fire/data/baer/mt4540011110320120828_20120908_post.jpg,https://edcintl.cr.usgs.gov/downloads/sciweb1/shared/MTBS_Fire/data/baer/mt4540011110320120828.tar.gz,,https://edcintl.cr.usgs.gov/downloads/sciweb1/shared/MTBS_Fire/data/baer/mt4540011110320120828_SBS.zip,mt4540011110320120828/millie_burn_severity.standardized.usgs_lcc.tif,6450,9379,13885,14724,38910,-111.078321573812,45.4253729695656,6.2.10
563,Sawtooth,Sawtooth,mt4622811430720120830,08/30/2012,Bitterroot National Forest,908,Bitterroot National Forest,5308,Montana,https://edcintl.cr.usgs.gov/downloads/sciweb1/shared/MTBS_Fire/data/baer/mt4622811430720120830_20121007_post.jpg,https://edcintl.cr.usgs.gov/downloads/sciweb1/shared/MTBS_Fire/data/baer/mt4622811430720120830.tar.gz,,https://edcintl.cr.usgs.gov/downloads/sciweb1/shared/MTBS_Fire/data/baer/mt4622811430720120830_SBS.zip,mt4622811430720120830/mt4622811430720120830_20110924_20121007_SBS.standardized.usgs_lcc.tif,100986,24393,5507,478,34716,-114.331557653083,46.2022875979979,6.2.15
552,Sheep,Sheep,id4553411629920120906,09/06/2012,Nez Perce-Clearwater,997,Nez Perce-Clearwater,48446,Idaho,https://edcintl.cr.usgs.gov/downloads/sciweb1/shared/MTBS_Fire/data/baer/id4553411629920120906_20120930_post.jpg,https://edcintl.cr.usgs.gov/downloads/sciweb1/shared/MTBS_Fire/data/baer/id4553411629920120906.tar.gz,,https://edcintl.cr.usgs.gov/downloads/sciweb1/shared/MTBS_Fire/data/baer/id4553411629920120906_SBS.zip,id4553411629920120906/sheep_final_soilbs.shp.standardized.usgs_lcc.tif,0,171355,28551,6528,310517,-116.159489826482,45.5868961743438,6.2.15
543,Little Sand,Little Sand,co3740210724320120513,05/13/2012,San Juan National Forest,1461,San Juan National Forest,27157,Colorado,https://edcintl.cr.usgs.gov/downloads/sciweb1/shared/MTBS_Fire/data/baer/co3740210724320120513_20120711_post.jpg,https://edcintl.cr.usgs.gov/downloads/sciweb1/shared/MTBS_Fire/data/baer/co3740210724320120513.tar.gz,,https://edcintl.cr.usgs.gov/downloads/sciweb1/shared/MTBS_Fire/data/baer/co3740210724320120513_SBS.zip,co3740210724320120513/co3740210724320120513_SBS.shp.standardized.usgs_lcc.tif,0,93557,13360,5390,82837,-107.258227900727,37.4508006690044,6.2.14
544,Waldo Canyon,Waldo Canyon,co3888410493320120623,06/23/2012,Pike and San Isabel National Forests & Cimarron & Comanche NGs,1412,Pike and San Isabel National Forests & Cimarron & Comanche NGs,19982,Colorado,https://edcintl.cr.usgs.gov/downloads/sciweb1/shared/MTBS_Fire/data/baer/co3888410493320120623_20120713_post.jpg,https://edcintl.cr.usgs.gov/downloads/sciweb1/shared/MTBS_Fire/data/baer/co3888410493320120623.tar.gz,,https://edcintl.cr.usgs.gov/downloads/sciweb1/shared/MTBS_Fire/data/baer/co3888410493320120623_SBS.zip,co3888410493320120623/Waldo_SBS_10m_final.img.standardized.usgs_lcc.tif,2703,32702,38624,6013,86455,-104.927818158245,38.9457191710758,6.2.14
